company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
טויוטה,קורולה,2019,1798,78689,1,אוטומטית,כסף מטלי,ליסינג,100800,בנזין,98
אאודי,A4,2023,1984,0,1,אוטומטית,שחור,חברה,302152,בנזין,204
יונדאי,אלנטרה,2020,1591,93944,1,אוטומטית,אפור,חברה,102738,בנזין,127
פורד,קוגה,2019,1498,65191,1,אוטומטית,שחור,-,91052,בנזין,175
טויוטה,קורולה,2020,1798,124464,1,אוטומטית,תכלת מטאלי,ליסינג,94200,בנזין,98
שברולט,אקווינוקס,2019,1490,148000,1,אוטומטית,אפור כהה,פרטי,89000,בנזין,170
מיצובישי,אאוטלנדר,2019,1998,122994,1,אוטומטית,אפור,חברה,117411,בנזין,150
יונדאי,איוניק,2020,1580,97677,1,אוטומטית,שנהב לבן,חברה,121792,בנזין,141
פיג'ו,208,2019,1199,52084,1,אוטומטית,אפור כהה,חברה,67693,בנזין,110
יונדאי,טוסון,2016,1999,120549,1,אוטומטית,לבן,-,93950,בנזין,155
אאודי,A5,2023,1984,0,1,אוטומטית,שנהב לבן,פרטי,386983,בנזין,150
סקודה,קודיאק,2017,1968,103000,1,אוטומטית,אפור כהה,-,149000,דיזל,190
יונדאי,I20,2013,1396,156984,1,אוטומטית,כחול מטל,חברה,32000,בנזין,100
טויוטה,קורולה,2021,1798,49920,1,אוטומטית,כסוף כהה מטלי,ליסינג,129065,בנזין,98
די. אס - ‏DS,DS4,2023,1598,0,1,אוטומטית,ברונזה,חברה,229900,בנזין,225
מיצובישי,אאוטלנדר,2019,1998,101848,1,אוטומטית,כחול,ליסינג,120619,בנזין,150
סיטרואן,C5 איירקרוס,2021,1499,59686,1,אוטומטית,שנהב לבן,חברה,134610,דיזל,130
מיצובישי,אאוטלנדר,2020,1998,64390,1,אוטומטית,שנהב לבן,ליסינג,149000,בנזין,150
פיג'ו,5008,2020,1199,68250,1,אוטומטית,שנהב לבן,חברה,144126,בנזין,130
לנד רובר,דיסקברי ספורט,2019,1997,74000,3,אוטומטית,שנהב לבן,פרטי,195000,בנזין,250
אאודי,A4,2019,1984,73000,1,אוטומטית,לבן,-,180000,בנזין,245
אאודי,A8,2017,2995,108458,2,אוטומטית,שחור מטלי,-,205000,בנזין,310
סיטרואן,C5 איירקרוס,2019,1598,85200,1,אוטומטית,ירוק כהה,חברה,134536,בנזין,180
סיטרואן,C5 איירקרוס,2021,1598,27258,1,אוטומטית,לבן,-,166900,חשמל/בנזין,180
סקודה,קודיאק,2018,1395,106000,1,אוטומטית,לבן,-,139500,בנזין,150
יונדאי,אלנטרה,2019,1591,40253,1,אוטומטית,אפור,חברה,97094,בנזין,127
איסוזו,PICK-UP,2019,1898,64890,1,ידנית,שנהב לבן,ליסינג,159000,דיזל,163
קיה,ספורטאז,2020,1598,133660,1,אוטומטית,לבן,-,101500,דיזל,136
ב מ וו,סדרה 1,2018,1499,98400,2,אוטומטית,לבן,-,99900,בנזין,136
מיצובישי,אקליפס,2019,1499,107312,1,אוטומטית,שנהב לבן,חברה,114379,בנזין,163
פיג'ו,3008,2019,1499,102000,1,אוטומטית,לבן,-,111900,דיזל,130
יונדאי,אלנטרה,2019,1591,85820,1,אוטומטית,כחול מטל,ליסינג,82700,בנזין,127
פיג'ו,3008,2020,1199,48880,1,אוטומטית,שנהב לבן,חברה,125716,בנזין,130
הונדה,HR-V,2018,1498,84500,1,אוטומטית,אפור כהה מטלי,פרטי,84000,בנזין,131
וולבו,XC40,2019,1969,85280,1,אוטומטית,לבן,-,167000,בנזין,190
פולקסווגן,טיגואן,2017,1395,118658,2,אוטומטית,שנהב לבן,פרטי,109000,בנזין,150
סקודה,אוקטביה,2017,999,92959,1,אוטומטית,כסף מטלי,-,83900,בנזין,115
קיה,נירו,2020,1580,119000,2,אוטומטית,אפור,פרטי,109900,בנזין,141
וולבו,XC40,2020,1477,84000,1,אוטומטית,אפור מטל,חברה,179000,בנזין,163
יונדאי,I20,2020,998,97530,1,אוטומטית,שחור,ליסינג,75969,בנזין,100
מזראטי,ג׳בייליס,2021,2979,80000,1,אוטומטית,אפור כהה,-,415000,בנזין,345
ג'יפ,גרנד שירוקי,2022,3604,28400,2,אוטומטית,שנהב לבן,פרטי,280000,בנזין,286
טויוטה,קורולה,2020,1798,72870,1,אוטומטית,שנהב לבן,ליסינג,109400,בנזין,98
קיה,ספורטאז,2020,1999,43485,1,אוטומטית,כחול,-,118900,בנזין,155
יונדאי,אקסנט,2020,1591,30288,1,אוטומטית,שחור,-,103629,בנזין,123
שברולט,מאליבו,2018,1490,124000,2,אוטומטית,לבן,-,65000,בנזין,160
ב מ וו,X1,2020,1499,51284,1,אוטומטית,שחור,חברה,168086,בנזין,140
קיה,פיקנטו,2020,1248,82357,1,אוטומטית,כסוף כהה,השכרה,64776,בנזין,84
פיג'ו,3008,2020,1199,47085,1,אוטומטית,אפור פלדה,חברה,120984,בנזין,130
טויוטה,קורולה,2019,1798,120751,1,אוטומטית,כסוף כהה מטלי,-,97950,בנזין,98
יונדאי,סנטה פה,2018,2359,99000,1,אוטומטית,שנהב לבן,פרטי,156000,בנזין,192
קיה,סטוניק,2020,998,33000,1,אוטומטית,אפור,-,107900,בנזין,120
סקודה,אוקטביה,2019,999,110220,1,אוטומטית,כסף מטלי,-,81200,בנזין,115
צ'רי,FX,2023,1598,0,1,אוטומטית,שנהב לבן,חברה,149000,בנזין,186
מיצובישי,אאוטלנדר,2020,1998,77758,1,אוטומטית,כסף מטלי,ליסינג,123600,בנזין,150
סקודה,פאביה,2022,999,7800,1,אוטומטית,כחול מטל,חברה,113500,בנזין,110
סיאט,ארונה,2020,999,98733,1,אוטומטית,שנהב לבן,ליסינג,82700,בנזין,115
פיג'ו,3008,2019,1499,131850,1,אוטומטית,שנהב לבן,ליסינג,125000,דיזל,130
טויוטה,קורולה,2020,1598,99901,1,אוטומטית,כסף מטלי,ליסינג,88600,בנזין,132
יונדאי,איוניק,2020,1580,92700,1,אוטומטית,שנהב לבן,ליסינג,102500,בנזין,141
סקודה,קודיאק,2018,1968,75000,1,אוטומטית,שנהב לבן,חברה,162300,דיזל,150
יונדאי,I10,2021,1197,21077,1,אוטומטית,שחור,ליסינג,77652,בנזין,84
אאודי,A3,2018,1395,115820,1,אוטומטית,לבן,-,128000,חשמל/בנזין,204
מרצדס,GLE,2023,2925,0,1,אוטומטית,לבן,חברה,645000,דיזל,330
סקודה,אוקטביה,2019,1498,106936,1,אוטומטית,כסף מטלי,חברה,107411,בנזין,150
רנו,קליאו,2022,999,14730,1,אוטומטית,שנהב לבן,חברה,93500,בנזין,91
סקודה,אוקטביה,2019,1498,106936,1,אוטומטית,כסף מטלי,חברה,107411,בנזין,150
מיצובישי,אטראז,2016,1193,188399,1,אוטומטית,כסוף בהיר,ליסינג,33041,בנזין,80
ב מ וו,סדרה 1,2018,1499,112200,4,אוטומטית,שחור,-,99900,בנזין,136
ג'יפ,גלדיאטור,2023,3604,0,1,אוטומטית,לבן,חברה,399900,בנזין,285
מיצובישי,ASX,2020,1998,111176,1,אוטומטית,שנהב לבן,ליסינג,93600,בנזין,150
טויוטה,קורולה,2019,1798,88364,1,אוטומטית,שנהב לבן,חברה,119323,בנזין,98
פורד,אקספלורר,2018,3497,120000,2,אוטומטית,שחור,חברה,169900,בנזין,290
קיה,פיקנטו,2020,1248,69720,1,אוטומטית,שנהב לבן,השכרה,66587,בנזין,84
אאודי,Q3,2023,1498,0,1,אוטומטית,לבן,חברה,293000,בנזין,150
טויוטה,קורולה,2019,1798,153016,1,אוטומטית,שנהב לבן,ליסינג,100619,בנזין,98
לקסוס,NX,2020,2494,75000,1,אוטומטית,אפור כהה מטלי,פרטי,199900,בנזין,155
טויוטה,קורולה,2019,1798,97901,1,אוטומטית,שנהב לבן,חברה,120235,בנזין,98
פיג'ו,2008,2020,1199,99000,1,אוטומטית,אפור פלדה,חברה,94900,בנזין,130
לקסוס,LS,2018,3445,84405,2,אוטומטית,לבן,-,399900,בנזין,418
קיה,ספורטאז,2021,1999,97201,1,אוטומטית,שחור,ליסינג,111600,בנזין,155
מיצובישי,אקליפס,2021,1499,19865,1,אוטומטית,שנהב לבן,חברה,144305,בנזין,163
סיאט,איביזה,2019,999,59543,1,אוטומטית,שנהב לבן,ליסינג,74900,בנזין,115
מיצובישי,אטראז,2016,1193,239832,1,אוטומטית,אפור,ליסינג,31068,בנזין,80
